TID,Items
1,"Water, Diapers"
2,"Milk, Eggs, Water, Cola, Beans"
3,"Milk, Eggs, Bread, Beer, Apples, Beans, Diapers"
4,"Eggs, Water, Apples, Beans, Peas"
5,"Milk, Bread, Beer, Cola, Apples"
6,"Bread, Cola, Apples"
7,"Cola, Apples, Diapers"
8,"Milk, Eggs, Bread, Diapers"
9,"Milk, Apples, Beans, Peas, Diapers"
10,"Milk, Bread, Apples"
11,"Eggs, Beer"
12,"Water, Cola, Beans"
13,"Milk, Bread, Apples"
14,"Milk, Bread, Cola"
15,"Beer, Beans"
16,"Water, Cola, Diapers"
17,"Bread, Beer"
18,"Milk, Eggs, Bread, Beer, Water, Cola, Apples, Beans, Peas, Diapers"
19,Milk, Bread, Cola, Apples, Beans, Peas
20,Bread, Cola, Apples
21,Eggs, Beer
22,Milk, Eggs, Bread, Cola, Apples, Beans, Diapers
23,Milk, Apples
24,Cola, Apples
25,Milk, Eggs, Bread, Apples
